grupo,n_imgs,n_pairs,mean_impostor_sim,FMR@global,FMR_CI_low,FMR_CI_high,FMR@LFWthr
East Asian,1550,59961,0.10065586864948273,0.003285468888110605,0.0028351761978619434,0.003735761578359267,0.04913193575824286
Southeast Asian,1415,59956,0.10073181241750717,0.0026686236573487225,0.0022516512108879845,0.0030526552805390616,0.04931950096737608
Indian,1516,59961,0.09124260395765305,0.002551658578075749,0.002150981471289672,0.002968596254231917,0.04389519854572139
Black,1556,59970,0.08317630738019943,0.0022011005502751376,0.0018175754543938636,0.0025850425212606298,0.03773553443388361
Latino_Hispanic,1623,59978,0.09043578058481216,0.002034079162359532,0.0016835339624528994,0.002400880322785021,0.037530427823535294
White,2085,59966,0.06622582674026489,0.0011006236867558282,0.0008504819397658673,0.0013674415502117868,0.01692625821298736
Middle Eastern,1209,59944,0.06926076859235764,0.0008841585479781129,0.0006672894701721607,0.0011177098625383692,0.01761644201254504
